Course Number,Course Name,L,T,P,C,Name of the Instructors and Tutors,Capacity,Number of Students,Sections,Lecture,Tutorial,Lab,Link To Course Plan,Preferred Knowledge Equivalent to,Remarks,Minor in,HSS/BS elective
"Additional Courses: Civil Engineering																	",,,,,,,,,,,,,,,,,
CE 315,Civil Engineering Materials,3,0,0,4,Krishna Siva Teja Chopperla(I),,,,"J1,J2
(7/101)",,,https://iitgnacin-my.sharepoint.com/:b:/g/personal/siva_chopperla_iitgn_ac_in/IQBg5Fv7TOB3RoqYHpULkmhHAaB-hEx0eqmwldaQOv5HHOA?e=aS00qS,,,,
CL 353,Introduction to Process Safety,1.5,0,0,2,Chinmay Ghoroi(I),,,,"B1
(Harsha Patel Learning Theatre)",,,,,,,
CE 601,Advanced Geotechnical Engineering,3,0,3,5,Ajanta Sachan(I+L),,,,"D1,D2
(13/125)",,"J2,M2
(CE Lab)",,,,,
CE 607,Advanced Structural Analysis,3,0,0,4,Dhiman Basu(I),,,,"E1,E2
(7/203)",,,Course Plan,,,,
CE 611,Advanced Engineering Hydrology,3,0,0,4,Sharad Kumar Jain(I),,,,"D1,D2
(13/124)",,,,,,,
ES 621,Advanced Solid Mechanics,3,0,0,4,Harmeet Singh(I),,,,"D1,D2
(7/102)",,,course plan,,,,
CE 622,Structural Dynamics,3,0,0,4,Srinivasan Chandrasekaran(I),,,,"D1,D2
(11/204)",,,,,,,
CE 625,Advanced Hydraulic Engineering,3,0,0,4,Pranab Kumar Mohapatra(I),,,,"E1,E2
(7/207)",,,,,,,
CE 627,Slopes and Retaining Structures,3,0,0,2,S.R.Gandhi(I),,,,"C1,C2
(11/204)",,,Course Plan CE 627,,,,
CE 634,Air Pollution Control Engineering,3,0,0,4,Sameer Patel(I),,,,"P1,P2
(7/210)",,,,,,,
CE 635,Pavement Materials and Design,3,0,0,4,Sushobhan Sen(I),,,,"C1,C2
(7/205)",,,CE 635 2026-27 Sem I Syllabus.docx,,,,
CE 637,Infrastructure Systems: Planning and Management,3,0,0,4,Udit Bhatia(I),,,,"E1,E2
(7/209)",,,,,,,
CE 638,Advanced Concrete Technology,3,0,0,4,Krishna Siva Teja Chopperla(I),,,,"C1,C2
(11/205)",,,https://iitgnacin-my.sharepoint.com/:b:/g/personal/siva_chopperla_iitgn_ac_in/IQDViUd4Rm2jQ5lweXtnY_YbAVSy0yPJ510k8dxXX30yl7U?e=Pp67wQ,,,,
CE 640,Hydrodynamics of Sediment Transport,3,0,0,4,Subhasish Dey(I),,,,"M1,M2
(7/109)",,,,,,,
CE 691-VI,Special Topics in Civil Engineering: Domestic Wastewater Engineering (Treatment and Reuse),3,0,0,4,Sudhir Kumar Arora(I),,,,"G1,G2
(7/203)",,,https://drive.google.com/file/d/1m24H1akjtw4YoNfSIiM1g3hL2__gmo7_/view?usp=share_link,,,,
CE 691-VIII,Special Topics in Civil Engineering: Administration of Contracts in the Infrastructure Industry,3,0,0,4,Col. Kishore(I),,,,"M1,M2
(13/124)",,,,,,,
,,,,,,,,,,,,,,,,,
"Additional Courses: Chemical Engineering																	",,,,,,,,,,,,,,,,,
CL 324,Introduction to Polymer Science and Engineering,3,0,0,4,,,,,,,,,,,,
CL 328,Chemical Engineering Practice in Industry,1.5,0,0,2,"Kaustubh S Rane(I),Nitin U. Padhiyar(I)",,,,"P2
(11/102)",,,Course plan,,,,
CL 426,Biochemical Engineering,3,0,0,4,Karthik Subramaniam Pushpavanam(I),,,,"F1,F2
(7/106)",,,,,,,
BS 401,Nanoscale Science,3,0,0,4,Kabeer Jasuja(I),,,,"M1,M2
(7/203)",,,,,,,BS
CL 601,Advance Transport Phenomena,3,1,0,4,Prachi Thareja(I+T),,,,"E1,E2
(7/108)","K2
(7/204)",,course plan CL 601,,,,
